Locality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Dist,Train,Tram,Group,Pré,Pan,Pós,Transport,Train,Tram,Bouth
CHARLTON,120000,131000,179500,160000,136000,150000,147000,149500,195000,300000,320000,Regional Victoria,#N/A,#N/A,Regional Victoria,8.09%,32.65%,64.10%,#N/A,#N/A,#N/A,#N/A
CHELSEA,577500,580000,730000,890000,914000,905000,856500,980000,1167500,1142500,1200000,31,Sim,Não,Outer ring,-6.29%,36.31%,2.78%,Train only,1,0,0
CHELSEA HEIGHTS,465000,513000,598000,641000,750000,778000,750000,805000,977500,935000,906500,30,Não,Não,Middle ring,0.00%,30.33%,-7.26%,None,0,0,0
CHELTENHAM,690000,774000,867000,942500,1170000,1105000,1035000,1130000,1306000,1350000,1342000,17,Sim,Não,Inner suburbs,-11.54%,26.18%,2.76%,Train only,1,0,0
CHELTENHAM EAST,600000,670000,770000,867500,982500,940000,940000,1010500,1190000,1157500,1150000,Regional Victoria,#N/A,#N/A,Regional Victoria,-4.33%,26.60%,-3.36%,#N/A,#N/A,#N/A,#N/A
CHELTENHAM NORTH,583500,675000,745000,895000,1018000,925000,913000,921500,1015000,1050000,1050000,Regional Victoria,#N/A,#N/A,Regional Victoria,-10.31%,11.17%,3.45%,#N/A,#N/A,#N/A,#N/A
CHILTERN,171500,187500,220000,250000,240000,260000,223500,321000,330000,395000,390000,Regional Victoria,#N/A,#N/A,Regional Victoria,-6.88%,47.65%,18.18%,#N/A,#N/A,#N/A,#N/A
CHIRNSIDE PARK,450000,490500,542500,627000,735000,700000,680500,750000,900000,925000,900000,37,Não,Não,Outer ring,-7.41%,32.26%,0.00%,None,0,0,0
CHURCHILL,182000,178500,172500,182000,175000,180000,185000,226000,305000,360000,345000,Regional Victoria,#N/A,#N/A,Regional Victoria,5.71%,64.86%,13.11%,#N/A,#N/A,#N/A,#N/A
CLARINDA,525000,606500,682500,751000,866000,802500,820000,851500,1024500,1060000,950000,18,Não,Não,Inner suburbs,-5.31%,24.94%,-7.27%,None,0,0,0
CLAYTON,645000,750000,976000,1010500,1250000,1255000,1158000,1055000,1200000,1123000,1165000,17,Sim,Não,Inner suburbs,-7.36%,3.63%,-2.92%,Train only,1,0,0
CLAYTON NORTH,630000,850000,1100000,1100000,1234500,1330000,1377500,1330000,1300000,1345000,1306000,16,Não,Não,Inner suburbs,11.58%,-5.63%,0.46%,None,0,0,0
CLAYTON SOUTH,526500,580000,687500,755000,850500,850000,832000,830000,982500,975000,947500,18,Não,Não,Inner suburbs,-2.18%,18.09%,-3.56%,None,0,0,0
CLIFTON HILL,867000,965000,1085000,1220000,1390000,1364500,1348000,1375000,1750000,1710000,1725000,3,Sim,Sim,Inner city,-3.02%,29.82%,-1.43%,Train and Tram,1,1,1
CLIFTON SPRINGS,337500,344000,345000,365000,420000,472000,485000,518500,666000,710000,670000,Regional Victoria,#N/A,#N/A,Regional Victoria,15.48%,37.32%,0.60%,#N/A,#N/A,#N/A,#N/A
CLUNES,219000,237500,245000,255000,263000,354000,320000,357500,450000,500000,510000,Regional Victoria,#N/A,#N/A,Regional Victoria,21.67%,40.63%,13.33%,#N/A,#N/A,#N/A,#N/A
CLYDE,397000,406000,397000,435000,430000,505000,542500,572000,613000,682500,675500,46,Não,Não,Fringe,26.16%,13.00%,10.20%,None,0,0,0
CLYDE NORTH,409000,380000,410000,491000,550000,595000,570000,605000,660000,730500,720000,48,Não,Não,Fringe,3.64%,15.79%,9.09%,None,0,0,0
COBBLEBANK,335500,323000,318000,328000,374000,460000,480000,510000,565000,645000,642500,38,Não,Não,Outer ring,28.34%,17.71%,13.72%,None,0,0,0
COBDEN,162500,145000,178500,177000,263000,225000,237000,272000,349000,386000,395000,Regional Victoria,#N/A,#N/A,Regional Victoria,-9.89%,47.26%,13.18%,#N/A,#N/A,#N/A,#N/A
COBRAM,218000,230000,236000,265000,255000,255000,272500,300000,370000,414000,437500,Regional Victoria,#N/A,#N/A,Regional Victoria,6.86%,35.78%,18.24%,#N/A,#N/A,#N/A,#N/A
COBURG,633000,710000,778000,876000,1000000,966500,935500,1085000,1257500,1216500,1180000,7,Sim,Não,Inner city,-6.45%,34.42%,-6.16%,Train only,1,0,0
COBURG EAST,560000,597500,675000,762500,865000,841500,825000,981000,1102000,1072500,1130000,7,Não,Não,Inner city,-4.62%,33.58%,2.54%,None,0,0,0
COBURG NORTH,540000,600000,665000,780000,822000,814000,805000,899000,1008500,1020000,980000,8,Sim,Não,Inner city,-2.07%,25.28%,-2.83%,Train only,1,0,0
COCKATOO,355000,365000,385500,430000,539500,591000,580000,610000,730500,770000,760000,48,Não,Não,Fringe,7.51%,25.95%,4.04%,None,0,0,0
COHUNA,139000,175000,175000,157500,180000,177500,204000,232500,260000,285000,325000,Regional Victoria,#N/A,#N/A,Regional Victoria,13.33%,27.45%,25.00%,#N/A,#N/A,#N/A,#N/A
COLAC,226500,235000,246500,259500,282500,320000,315000,350000,420000,500000,480000,Regional Victoria,#N/A,#N/A,Regional Victoria,11.50%,33.33%,14.29%,#N/A,#N/A,#N/A,#N/A
COLDSTREAM,385000,405000,441000,521000,597500,660000,635000,648000,767000,780000,805000,38,Não,Não,Outer ring,6.28%,20.79%,4.95%,None,0,0,0
COLERAINE,118000,95000,96000,90000,133000,114000,144000,127000,174000,282000,207500,Regional Victoria,#N/A,#N/A,Regional Victoria,8.27%,20.83%,19.25%,#N/A,#N/A,#N/A,#N/A
COLLINGWOOD,741000,775000,914000,920000,1205000,1110000,1060000,1155000,1251500,1302000,1225000,2,Sim,Sim,Inner city,-12.03%,18.07%,-2.12%,Train and Tram,1,1,1
CONNEWARRE,612500,722500,800000,892000,955000,1200000,1345000,1647500,1625000,2570000,1896500,Regional Victoria,#N/A,#N/A,Regional Victoria,40.84%,20.82%,16.71%,#N/A,#N/A,#N/A,#N/A
COOLAROO,290000,290000,302500,340000,451000,480000,441000,477000,500000,530000,530500,17,Sim,Não,Inner suburbs,-2.22%,13.38%,6.10%,Train only,1,0,0
COONANS HILL,655000,728500,743000,870000,963000,927000,902500,1055000,1213000,1207500,1205000,15,Não,Não,Inner suburbs,-6.28%,34.40%,-0.66%,None,0,0,0
COONGULLA,150000,205000,189000,185000,192000,242000,335000,285000,280000,377500,457500,Regional Victoria,#N/A,#N/A,Regional Victoria,74.48%,-16.42%,63.39%,#N/A,#N/A,#N/A,#N/A
CORINELLA,330000,270000,370000,325000,391000,450000,357500,510000,670000,777500,695000,Regional Victoria,#N/A,#N/A,Regional Victoria,-8.57%,87.41%,3.73%,#N/A,#N/A,#N/A,#N/A
CORIO,230000,242000,240000,250000,305000,370000,351500,390000,457000,520000,480000,Regional Victoria,#N/A,#N/A,Regional Victoria,15.25%,30.01%,5.03%,#N/A,#N/A,#N/A,#N/A
CORONET BAY,251000,249000,240000,266000,325500,345000,370000,407500,522500,635000,580000,Regional Victoria,#N/A,#N/A,Regional Victoria,13.67%,41.22%,11.00%,#N/A,#N/A,#N/A,#N/A
CORRYONG,166500,135000,160000,164000,180000,162500,236000,226500,240000,310000,320000,Regional Victoria,#N/A,#N/A,Regional Victoria,31.11%,1.69%,33.33%,#N/A,#N/A,#N/A,#N/A
COWES,387500,357500,412500,400000,440000,541000,557500,589500,880000,875000,800000,Regional Victoria,#N/A,#N/A,Regional Victoria,26.70%,57.85%,-9.09%,#N/A,#N/A,#N/A,#N/A
COWES WEST,320000,350000,329000,353500,390000,485500,508500,545000,705000,820000,779000,Regional Victoria,#N/A,#N/A,Regional Victoria,30.38%,38.64%,10.50%,#N/A,#N/A,#N/A,#N/A
CRAIGIEBURN,360000,362000,390000,425000,502500,546500,525000,560000,616000,660000,650000,26,Sim,Não,Middle ring,4.48%,17.33%,5.52%,Train only,1,0,0
CRANBOURNE,315000,331500,360000,406000,510000,540000,500000,510000,618000,660000,655000,45,Sim,Não,Fringe,-1.96%,23.60%,5.99%,Train only,1,0,0
CRANBOURNE EAST,390000,410000,437000,460000,535000,574500,567000,590000,670000,720000,707500,46,Não,Não,Fringe,5.98%,18.17%,5.60%,None,0,0,0
CRANBOURNE NORTH,370000,375000,410000,455000,541000,600000,570000,587500,653500,720000,710000,44,Não,Não,Fringe,5.36%,14.65%,8.65%,None,0,0,0
CRANBOURNE SOUTH,-,455000,685000,685000,600000,425000,632500,634000,710000,795000,721000,47,Não,Não,Fringe,5.42%,12.25%,1.55%,None,0,0,0
CRANBOURNE WEST,330000,335000,350000,410000,510500,540000,508000,510000,600000,680000,657500,43,Não,Não,Fringe,-0.49%,18.11%,9.58%,None,0,0,0
CREMORNE,821000,886500,1030000,1072000,1230000,1420000,1290000,1410000,1500000,1315000,1335000,3,Sim,Sim,Inner city,4.88%,16.28%,-11.00%,Train and Tram,1,1,1
CRESWICK,245000,270000,265000,292500,311500,324000,350000,387500,500000,545000,529000,Regional Victoria,#N/A,#N/A,Regional Victoria,12.36%,42.86%,5.80%,#N/A,#N/A,#N/A,#N/A
CRIB POINT,355000,339000,350000,402000,502500,555000,527500,578500,740000,785000,755000,Regional Victoria,#N/A,#N/A,Regional Victoria,4.98%,40.28%,2.03%,#N/A,#N/A,#N/A,#N/A
CROYDON,470000,525000,605000,695000,809000,792500,735000,787500,920000,900000,916000,28,Sim,Não,Middle ring,-9.15%,25.17%,-0.43%,Train only,1,0,0
CROYDON HILLS,571500,606000,697000,730000,875000,877500,835000,920000,1100000,1107000,1180000,28,Não,Não,Middle ring,-4.57%,31.74%,7.27%,None,0,0,0
CROYDON NORTH,540500,600000,702500,790500,872000,840000,827500,860500,1050000,1069000,1075000,26,Não,Não,Middle ring,-5.10%,26.89%,2.38%,None,0,0,0
CROYDON SOUTH,442000,530000,600000,655000,800000,757500,715500,740000,890000,864000,885500,30,Não,Não,Middle ring,-10.56%,24.39%,-0.51%,None,0,0,0
CURLEWIS,385500,382500,387000,405000,426000,495000,565000,572500,650000,705000,667500,Regional Victoria,#N/A,#N/A,Regional Victoria,32.63%,15.04%,2.69%,#N/A,#N/A,#N/A,#N/A
DALLAS,280000,295000,321500,345000,430000,490000,451500,467500,526500,524500,512500,17,Não,Não,Inner suburbs,5.00%,16.61%,-2.66%,None,0,0,0
DALYSTON,245000,260000,257000,255000,273500,305000,373000,421000,536000,580000,525000,Regional Victoria,#N/A,#N/A,Regional Victoria,36.38%,43.70%,-2.05%,#N/A,#N/A,#N/A,#N/A
DANDENONG,405000,439000,485000,555500,620000,640000,601000,630000,700000,740000,687500,29,Sim,Não,Middle ring,-3.06%,16.47%,-1.79%,Train only,1,0,0
DANDENONG NORTH,390000,415500,481000,551000,633500,640000,606500,640000,729000,738500,721000,27,Não,Não,Middle ring,-4.26%,20.20%,-1.10%,None,0,0,0
DANYO,54500,78500,60500,40000,84000,78500,40000,80000,117500,180000,164000,Regional Victoria,#N/A,#N/A,Regional Victoria,-52.38%,193.75%,39.57%,#N/A,#N/A,#N/A,#N/A
DARLEY,330500,360000,377500,371500,430000,505000,520000,500000,610000,710000,695000,Regional Victoria,#N/A,#N/A,Regional Victoria,20.93%,17.31%,13.93%,#N/A,#N/A,#N/A,#N/A
DAYLESFORD,385000,401500,442500,464000,502000,552500,592500,692500,835000,910000,899000,Regional Victoria,#N/A,#N/A,Regional Victoria,18.03%,40.93%,7.66%,#N/A,#N/A,#N/A,#N/A
DEANSIDE,-,-,-,-,340000,456500,335000,499500,540000,585000,640000,29,Não,Não,Middle ring,-1.47%,61.19%,18.52%,None,0,0,0
DEEPDENE,1981000,2215000,2750000,2600000,2862500,2692500,2858000,3150000,3262500,3001000,3050000,9,Não,Sim,Inner city,-0.16%,14.15%,-6.51%,Tram only,0,1,0
DEER PARK,348000,365000,390000,441000,552500,580000,550000,580000,630000,635000,640000,17,Não,Não,Inner suburbs,-0.45%,14.55%,1.59%,None,0,0,0
DELACOMBE,280000,292000,290000,319000,325000,360000,390000,410000,525000,570000,527500,Regional Victoria,#N/A,#N/A,Regional Victoria,20.00%,34.62%,0.48%,#N/A,#N/A,#N/A,#N/A
DELAHEY,372500,370000,400000,458000,545000,575000,530000,575000,645000,650000,639000,20,Não,Não,Inner suburbs,-2.75%,21.70%,-0.93%,None,0,0,0
DENNINGTON,320000,315000,345000,342500,345000,355000,360000,395000,485000,616500,581500,Regional Victoria,#N/A,#N/A,Regional Victoria,4.35%,34.72%,19.90%,#N/A,#N/A,#N/A,#N/A
DERRIMUT,417000,435000,466000,530000,635000,615000,649000,658000,715000,770000,739000,18,Não,Não,Inner suburbs,2.20%,10.17%,3.36%,None,0,0,0
DIAMOND CREEK,513000,550000,580000,646500,755000,782500,750500,797500,1000000,994500,983500,25,Sim,Não,Middle ring,-0.60%,33.24%,-1.65%,Train only,1,0,0
DIGGERS REST,280000,325000,325000,360000,440500,500000,515000,560000,614000,657500,657500,36,Sim,Não,Outer ring,16.91%,19.22%,7.08%,Train only,1,0,0
DIMBOOLA,89000,90500,109500,107000,122500,130000,120000,154000,200000,247000,281000,Regional Victoria,#N/A,#N/A,Regional Victoria,-2.04%,66.67%,40.50%,#N/A,#N/A,#N/A,#N/A
DINGLEY VILLAGE,553500,607000,690000,775500,887000,840500,810000,934000,1050000,1112000,1090000,22,Não,Não,Middle ring,-8.68%,29.63%,3.81%,None,0,0,0
DINNER PLAIN,390000,309000,359000,400000,412500,510000,520000,565000,765000,975000,1200000,Regional Victoria,#N/A,#N/A,Regional Victoria,26.06%,47.12%,56.86%,#N/A,#N/A,#N/A,#N/A
DONALD,140000,120000,125000,145000,122000,145000,135500,145000,170000,225000,240000,Regional Victoria,#N/A,#N/A,Regional Victoria,11.07%,25.46%,41.18%,#N/A,#N/A,#N/A,#N/A
DONCASTER,850500,999000,1176000,1297500,1366500,1320000,1270000,1280000,1502000,1500000,1550000,14,Não,Não,Inner suburbs,-7.06%,18.27%,3.20%,None,0,0,0
DONCASTER EAST,789000,894500,1113500,1230000,1360000,1222000,1198000,1255000,1500000,1535000,1630000,17,Não,Não,Inner suburbs,-11.91%,25.21%,8.67%,None,0,0,0
DONNYBROOK,-,-,-,-,-,530000,540000,620000,600000,665000,650000,38,Não,Não,Outer ring,#VALUE!,11.11%,8.33%,None,0,0,0
DONVALE,735000,840000,964000,970000,1200000,1182500,1140000,1195000,1337500,1440000,1438500,18,Não,Não,Inner suburbs,-5.00%,17.32%,7.55%,None,0,0,0
DOREEN,415000,430000,440000,470000,550000,601000,598000,623500,705000,741500,727000,30,Não,Não,Middle ring,8.73%,17.89%,3.12%,None,0,0,0
DOVETON,302000,310500,348000,405000,490000,543500,472000,500000,582500,625000,570000,31,Não,Não,Outer ring,-3.67%,23.41%,-2.15%,None,0,0,0
DROMANA,462000,492000,551000,583000,690000,786000,715000,762500,1000000,1100000,1052500,Regional Victoria,#N/A,#N/A,Regional Victoria,3.62%,39.86%,5.25%,#N/A,#N/A,#N/A,#N/A
DROUIN,300000,311000,320000,347000,390000,455000,440000,467000,565000,620000,621500,Regional Victoria,#N/A,#N/A,Regional Victoria,12.82%,28.41%,10.00%,#N/A,#N/A,#N/A,#N/A
DRYSDALE,380000,401500,410000,410000,440000,522500,575500,590000,682500,747000,726000,Regional Victoria,#N/A,#N/A,Regional Victoria,30.80%,18.59%,6.37%,#N/A,#N/A,#N/A,#N/A
DUNOLLY,182500,170000,167500,180000,179000,206500,234500,209500,265000,320000,335000,Regional Victoria,#N/A,#N/A,Regional Victoria,31.01%,13.01%,26.42%,#N/A,#N/A,#N/A,#N/A
EAGLE POINT,227000,267000,341500,255000,250000,290000,354000,394500,409500,580000,530000,Regional Victoria,#N/A,#N/A,Regional Victoria,41.60%,15.68%,29.43%,#N/A,#N/A,#N/A,#N/A
EAGLEHAWK,264000,273000,283000,270000,295000,315000,321500,360000,440000,510000,485000,Regional Victoria,#N/A,#N/A,Regional Victoria,8.98%,36.86%,10.23%,#N/A,#N/A,#N/A,#N/A
EAGLEMONT,1340000,1522000,1740000,1901000,1963000,1955000,1863000,2029000,2385000,2425000,2528500,9,Sim,Não,Inner city,-5.09%,28.02%,6.02%,Train only,1,0,0
EAST BAIRNSDALE,226000,160000,202500,212500,222000,227000,235000,320000,355000,380000,347500,Regional Victoria,#N/A,#N/A,Regional Victoria,5.86%,51.06%,-2.11%,#N/A,#N/A,#N/A,#N/A
EAST BENDIGO,285000,330000,300000,303500,335000,318000,390000,389500,465000,570000,551500,Regional Victoria,#N/A,#N/A,Regional Victoria,16.42%,19.23%,18.60%,#N/A,#N/A,#N/A,#N/A
EAST GEELONG,450000,426500,440000,515500,600000,637500,632500,815000,920000,846000,835000,Regional Victoria,#N/A,#N/A,Regional Victoria,5.42%,45.45%,-9.24%,#N/A,#N/A,#N/A,#N/A
EAST MELBOURNE,1790000,1850000,2750000,3655000,3585000,2675000,3090000,2862500,3300000,3127500,3363000,2,Não,Sim,Inner city,-13.81%,6.80%,1.91%,Tram only,0,1,0
EAST WARBURTON,289500,275000,305000,369000,392500,428500,458000,532500,645000,620000,667500,Regional Victoria,#N/A,#N/A,Regional Victoria,16.69%,40.83%,3.49%,#N/A,#N/A,#N/A,#N/A
EASTWOOD,335000,342000,335000,357500,380000,385000,410000,417000,535000,590000,599000,Regional Victoria,#N/A,#N/A,Regional Victoria,7.89%,30.49%,11.96%,#N/A,#N/A,#N/A,#N/A
ECHUCA,285000,285000,300000,310000,320000,365000,372500,412000,467500,555000,580000,Regional Victoria,#N/A,#N/A,Regional Victoria,16.41%,25.50%,24.06%,#N/A,#N/A,#N/A,#N/A
EDENHOPE,160000,130000,115000,144500,160000,147000,169500,143000,206500,225000,266000,Regional Victoria,#N/A,#N/A,Regional Victoria,5.94%,21.83%,28.81%,#N/A,#N/A,#N/A,#N/A
EDITHVALE,615000,670000,766000,930000,1058500,1047500,950000,1029500,1240000,1362500,1280000,29,Sim,Não,Middle ring,-10.25%,30.53%,3.23%,Train only,1,0,0
EILDON,210000,205000,208500,210000,225000,258000,251500,285000,350000,430000,450000,Regional Victoria,#N/A,#N/A,Regional Victoria,11.78%,39.17%,28.57%,#N/A,#N/A,#N/A,#N/A
ELLIMINYT,332000,313000,318000,364000,366500,385000,445000,470000,517000,675000,750000,Regional Victoria,#N/A,#N/A,Regional Victoria,21.42%,16.18%,45.07%,#N/A,#N/A,#N/A,#N/A
ELMORE,184000,178000,200000,220000,162000,227500,235000,245000,332500,405000,358000,Regional Victoria,#N/A,#N/A,Regional Victoria,45.06%,41.49%,7.67%,#N/A,#N/A,#N/A,#N/A
ELSTERNWICK,1365000,1315000,1621000,1723500,2087500,1970000,1825000,2081000,2175000,2265000,2165000,8,Sim,Sim,Inner city,-12.57%,19.18%,-0.46%,Train and Tram,1,1,1
ELTHAM,631500,670000,750000,815000,930000,942500,928000,995000,1234500,1255000,1190000,20,Sim,Não,Inner suburbs,-0.22%,33.03%,-3.60%,Train only,1,0,0
ELTHAM NORTH,622000,680000,758000,854500,900000,930500,930000,1050000,1237500,1237000,1250000,22,Não,Não,Middle ring,3.33%,33.06%,1.01%,None,0,0,0
ELWOOD,1350000,1412500,1631000,1841500,1900000,2140000,1950000,2110000,2216500,2605000,2200000,5,Não,Sim,Inner city,2.63%,13.67%,-0.74%,Tram only,0,1,0
EMERALD,440000,449500,502000,545000,660500,730000,660000,732500,881000,950000,860000,42,Não,Não,Fringe,-0.08%,33.48%,-2.38%,None,0,0,0
ENDEAVOUR HILLS,400000,432000,496500,550000,630500,651000,620000,672000,750000,815000,795000,34,Não,Não,Outer ring,-1.67%,20.97%,6.00%,None,0,0,0
EPPING,366500,386500,400000,455000,556500,600000,546000,577000,654000,677000,668000,22,Sim,Não,Middle ring,-1.89%,19.78%,2.14%,Train only,1,0,0
EPSOM,322500,342500,340000,340000,352000,357000,371500,431000,530000,600000,582500,Regional Victoria,#N/A,#N/A,Regional Victoria,5.54%,42.66%,9.91%,#N/A,#N/A,#N/A,#N/A
ESSENDON,870000,942000,1228000,1365000,1400000,1691000,1450000,1520000,1750000,1841000,1760000,8,Sim,Não,Inner city,3.57%,20.69%,0.57%,Train only,1,0,0
ESSENDON NORTH,725000,840000,808000,875000,1100000,1145000,1100000,1260000,1400000,1510000,1296000,9,Não,Não,Inner city,0.00%,27.27%,-7.43%,None,0,0,0
ESSENDON WEST,720000,785000,920000,962500,1296000,1221000,1180000,1275000,1390000,1265500,1165000,9,Não,Não,Inner city,-8.95%,17.80%,-16.19%,None,0,0,0
EUMEMMERRING,353000,365000,408500,450500,517500,622000,540000,550000,628000,750500,665000,31,Não,Não,Outer ring,4.35%,16.30%,5.89%,None,0,0,0
EUREKA,243500,259000,247500,275000,251500,315500,360000,412500,430000,490000,523000,Regional Victoria,#N/A,#N/A,Regional Victoria,43.14%,19.44%,21.63%,#N/A,#N/A,#N/A,#N/A
EUROA,208000,230000,235500,265000,239000,270000,309000,360000,407500,475000,492500,Regional Victoria,#N/A,#N/A,Regional Victoria,29.29%,31.88%,20.86%,#N/A,#N/A,#N/A,#N/A
EYNESBURY,390500,390000,403500,459000,484000,550000,558500,600000,676500,710000,652500,43,Não,Não,Fringe,15.39%,21.13%,-3.55%,None,0,0,0
FAIRFIELD,915000,945000,1111500,1303000,1496000,1316000,1295000,1395500,1700000,1800000,1585000,6,Sim,Não,Inner city,-13.44%,31.27%,-6.76%,Train only,1,0,0
FAWKNER,410000,444000,510000,587500,705000,720000,665000,715000,815000,770000,770000,13,Sim,Não,Inner suburbs,-5.67%,22.56%,-5.52%,Train only,1,0,0
FERNTREE GULLY,451000,505000,599000,660000,749000,732500,692000,750000,865000,873000,890000,31,Sim,Não,Outer ring,-7.61%,25.00%,2.89%,Train only,1,0,0
FERNY CREEK,497500,492500,621000,735000,798000,830000,800000,908000,1120000,940000,890000,36,Não,Não,Outer ring,0.25%,40.00%,-20.54%,None,0,0,0
FINGAL,677500,730000,857500,840000,1000000,1350000,1240000,1312500,1807500,1975000,2000000,Regional Victoria,#N/A,#N/A,Regional Victoria,24.00%,45.77%,10.65%,#N/A,#N/A,#N/A,#N/A
FITZROY,945000,1130000,1297500,1600000,1625000,1450000,1400000,1400000,1520000,1502500,1530000,2,Não,Sim,Inner city,-13.85%,8.57%,0.66%,Tram only,0,1,0
FITZROY NORTH,976000,1014000,1188000,1279000,1450000,1475000,1385000,1600000,1706000,1632500,1600000,3,Não,Sim,Inner city,-4.48%,23.18%,-6.21%,Tram only,0,1,0
FIVEWAYS,355000,315000,380000,417500,525000,542500,485000,530000,751500,825000,670000,Regional Victoria,#N/A,#N/A,Regional Victoria,-7.62%,54.95%,-10.84%,#N/A,#N/A,#N/A,#N/A
FLEMINGTON,735500,730000,830000,918000,1100000,926500,1000000,1028500,1250000,1103500,1027500,4,Sim,Sim,Inner city,-9.09%,25.00%,-17.80%,Train and Tram,1,1,1
FLINDERS,765000,808000,839000,1225000,1525000,1697500,1670000,2085000,2667500,3342000,2125000,Regional Victoria,#N/A,#N/A,Regional Victoria,9.51%,59.73%,-20.34%,#N/A,#N/A,#N/A,#N/A
FLORA HILL,310000,323500,321000,325000,335000,352500,370000,395000,481000,550000,520000,Regional Victoria,#N/A,#N/A,Regional Victoria,10.45%,30.00%,8.11%,#N/A,#N/A,#N/A,#N/A
FLOWERDALE,292500,170000,255000,237500,310000,390000,287500,400000,475000,530000,595000,Regional Victoria,#N/A,#N/A,Regional Victoria,-7.26%,65.22%,25.26%,#N/A,#N/A,#N/A,#N/A
FOOTSCRAY,600000,645000,690500,775000,883500,899000,812000,863500,962500,990000,902000,5,Sim,Não,Inner city,-8.09%,18.53%,-6.29%,Train only,1,0,0
FOREST HILL,650500,721000,892000,933500,1060000,935000,900000,986000,1207500,1155500,1250500,18,Não,Não,Inner suburbs,-15.09%,34.17%,3.56%,None,0,0,0
FOSTER,298000,315000,325000,315000,320000,333500,330000,387500,457500,595000,590000,Regional Victoria,#N/A,#N/A,Regional Victoria,3.13%,38.64%,28.96%,#N/A,#N/A,#N/A,#N/A
FRANKSTON,350000,372000,426000,474000,600000,605000,581000,621500,750000,764500,735000,40,Sim,Não,Outer ring,-3.17%,29.09%,-2.00%,Train only,1,0,0
FRANKSTON NORTH,255000,269000,297000,352000,470000,502000,423000,450000,580000,610000,574000,38,Não,Não,Outer ring,-10.00%,37.12%,-1.03%,None,0,0,0
FRANKSTON SOUTH,535000,560000,620000,690000,815500,855000,817500,860000,1150000,1200000,1150000,43,Não,Não,Fringe,0.25%,40.67%,0.00%,None,0,0,0
FRASER RISE,455000,490000,465000,483000,541000,615000,595000,620000,675000,719000,716000,34,Não,Não,Outer ring,9.98%,13.45%,6.07%,None,0,0,0
FYANSFORD,386500,478000,688000,592500,610000,650000,660000,800500,845000,1065000,950000,Regional Victoria,#N/A,#N/A,Regional Victoria,8.20%,28.03%,12.43%,#N/A,#N/A,#N/A,#N/A
GARDEN CITY,1055000,1055000,1320000,1440000,1650000,1507500,1375000,1602500,2074500,1850000,1616000,Regional Victoria,#N/A,#N/A,Regional Victoria,-16.67%,50.87%,-22.10%,#N/A,#N/A,#N/A,#N/A
GARDENVALE,1150000,1180000,1348000,1857500,1880000,1830000,1740000,1900000,2120000,2005000,2300000,9,Sim,Não,Inner city,-7.45%,21.84%,8.49%,Train only,1,0,0
GARFIELD,405000,355000,370000,405000,414500,540000,518000,590000,715000,789000,820000,Regional Victoria,#N/A,#N/A,Regional Victoria,24.97%,38.03%,14.69%,#N/A,#N/A,#N/A,#N/A
GEELONG,500000,512000,607500,590000,735000,757500,720000,883500,950000,900000,982500,Regional Victoria,#N/A,#N/A,Regional Victoria,-2.04%,31.94%,3.42%,#N/A,#N/A,#N/A,#N/A
GEELONG WEST,440000,469000,490000,543500,654000,713000,675000,749500,882500,997000,910000,Regional Victoria,#N/A,#N/A,Regional Victoria,3.21%,30.74%,3.12%,#N/A,#N/A,#N/A,#N/A
GEMBROOK,344000,400000,440000,525000,565000,610000,650000,680000,789500,862500,852500,55,Não,Não,Fringe,15.04%,21.46%,7.98%,None,0,0,0
GISBORNE,496000,510000,550000,635000,655000,770000,730000,810000,898500,1052500,1000000,50,Não,Não,Fringe,11.45%,23.08%,11.30%,None,0,0,0
GLADSTONE PARK,392500,400000,460000,525000,645000,630000,636500,640000,728000,730000,710000,16,Não,Não,Inner suburbs,-1.32%,14.38%,-2.47%,None,0,0,0
GLEN HUNTLY,977500,1135000,1350000,1330000,1415000,1253000,1440000,1342500,2002500,1570000,1735500,11,Sim,Sim,Inner suburbs,1.77%,39.06%,-13.33%,Train and Tram,1,1,1
GLEN IRIS,1310000,1500000,1800000,1935000,2025000,1927500,1967000,2136000,2492500,2500000,2500000,8,Sim,Sim,Inner city,-2.86%,26.72%,0.30%,Train and Tram,1,1,1
GLEN WAVERLEY,815000,960000,1212500,1221000,1337500,1300000,1287500,1304000,1558500,1560000,1660000,22,Sim,Não,Middle ring,-3.74%,21.05%,6.51%,Train only,1,0,0
GLENGARRY,232500,283000,286000,277500,310000,300000,324000,388000,490000,576500,590000,Regional Victoria,#N/A,#N/A,Regional Victoria,4.52%,51.23%,20.41%,#N/A,#N/A,#N/A,#N/A
GLENROWAN,230000,239000,225000,272500,300000,265000,372500,375000,500000,517000,595000,Regional Victoria,#N/A,#N/A,Regional Victoria,24.17%,34.23%,19.00%,#N/A,#N/A,#N/A,#N/A
GLENROY,454000,500000,560000,600000,730000,725000,700000,740000,835000,850000,795000,13,Sim,Não,Inner suburbs,-4.11%,19.29%,-4.79%,Train only,1,0,0
GOLDEN BEACH,169500,172500,180000,212500,209500,225500,220000,270000,325000,355000,395000,Regional Victoria,#N/A,#N/A,Regional Victoria,5.01%,47.73%,21.54%,#N/A,#N/A,#N/A,#N/A
